station_id,name,short_name,lat,lon,region_id,rental_methods/0,rental_methods/1,capacity,eightd_has_key_dispenser
352,W 56 St & 6 Ave,6809.07,40.76340613,-73.97722479,71,KEY,CREDITCARD,36,FALSE
353,S Portland Ave & Hanson Pl,4354.05,40.68539567,-73.97431458,71,KEY,CREDITCARD,27,FALSE
354,Emerson Pl & Myrtle Ave,4683.02,40.69363137,-73.96223558,71,KEY,CREDITCARD,23,FALSE
355,Bayard St & Baxter St,5351.03,40.71602118,-73.99974372,71,KEY,CREDITCARD,43,FALSE
356,Bialystoker Pl & Delancey St,5335.03,40.71622644,-73.98261206,71,KEY,CREDITCARD,23,FALSE
357,E 11 St & Broadway,5829.12,40.73261787,-73.99158043,71,KEY,CREDITCARD,27,FALSE
358,Christopher St & Greenwich St,5847.01,40.73291553,-74.00711384,71,KEY,CREDITCARD,36,FALSE
359,E 47 St & Park Ave,6584.12,40.75510267,-73.97498696,71,KEY,CREDITCARD,55,FALSE
360,William St & Pine St,5065.12,40.70717936,-74.00887308,71,KEY,CREDITCARD,39,FALSE
361,Allen St & Hester St,5342.1,40.71605866,-73.99190759,71,KEY,CREDITCARD,43,FALSE
362,Broadway & W 37 St,6441.02,40.75172632,-73.98753523,71,KEY,CREDITCARD,57,FALSE
363,West Thames St,5114.06,40.70834698,-74.01713445,71,KEY,CREDITCARD,49,FALSE
364,Lafayette Ave & Classon Ave,4452.01,40.68900443,-73.96023854,71,KEY,CREDITCARD,27,FALSE
365,Fulton St & Grand Ave,4263.1,40.68223166,-73.9614583,71,KEY,CREDITCARD,31,FALSE
366,Clinton Ave & Myrtle Ave,4651.02,40.693261,-73.968896,71,KEY,CREDITCARD,33,FALSE
367,E 53 St & Lexington Ave,6617.09,40.75828065,-73.97069431,71,KEY,CREDITCARD,34,FALSE
368,Carmine St & 6 Ave,5763.03,40.73038599,-74.00214988,71,KEY,CREDITCARD,39,TRUE
369,Washington Pl & 6 Ave,5838.09,40.73224119,-74.00026394,71,KEY,CREDITCARD,35,FALSE
372,Franklin Ave & Myrtle Ave,4715.01,40.694528,-73.958089,71,KEY,CREDITCARD,27,FALSE
373,Willoughby Ave & Walworth St,4634.02,40.69331716,-73.95381995,71,KEY,CREDITCARD,19,FALSE
376,John St & William St,5065.04,40.70862144,-74.00722156,71,KEY,CREDITCARD,43,FALSE
377,6 Ave & Canal St,5500.07,40.72243797,-74.00566443,71,KEY,CREDITCARD,47,FALSE
379,W 31 St & 7 Ave,6331.01,40.749156,-73.9916,71,KEY,CREDITCARD,42,FALSE
380,W 4 St & 7 Ave S,5880.02,40.73401143,-74.00293877,71,KEY,CREDITCARD,39,FALSE
382,University Pl & E 14 St,5905.11,40.73492695,-73.99200509,71,KEY,CREDITCARD,36,FALSE
383,Greenwich Ave & Charles St,5914.08,40.735238,-74.000271,71,KEY,CREDITCARD,39,FALSE
384,Fulton St & Washington Ave,4304.06,40.683048,-73.964915,71,KEY,CREDITCARD,31,FALSE
385,E 55 St & 2 Ave,6650.07,40.75797322,-73.96603308,71,KEY,CREDITCARD,29,FALSE
